event_id,investigation_type,accident_number,event_date,location,country,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,is_destroyed
20001213X25516,Accident,MIA88LA141,1988-04-05,"MIAMI, FL",United States,TMB,TAMIAMI,Non-Fatal,Substantial,,Cessna,t-188c,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,taxi,False
20001213X25362,Accident,ANC88DAG03,1988-04-05,"GLENNALLEN, AK",United States,,,Non-Fatal,Substantial,,Piper,pa-14,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,maneuvering,False
20001213X25425,Accident,CHI88FA091,1988-04-05,"ST. PAUL, MN",United States,,,Non-Fatal,Substantial,Airplane,Beech,b90,No,2.0,turbo prop,unknown,0.0,0.0,0.0,5.0,imc,cruise,False
20001213X25431,Accident,CHI88LA095,1988-04-06,"SAUK CENTER, MN",United States,,,Non-Fatal,Destroyed,,Cessna,172p,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,cruise,True
20001213X25430,Accident,CHI88LA094,1988-04-06,"CHAMPAIGN, IL",United States,CMI,WILLARD,Non-Fatal,Substantial,,Cessna,172m,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,taxi,False
20001213X25394,Accident,ATL88LA135,1988-04-07,"BRICEVILLE, TN",United States,,,Non-Fatal,Destroyed,,Cessna,177rg,No,1.0,reciprocating,ferry,0.0,0.0,1.0,0.0,imc,cruise,True
20001213X25540,Accident,MKC88LA075,1988-04-07,"FORT SMITH, AR",United States,FSM,FT. SMITH MUNI,Non-Fatal,Substantial,,Piper,pa-28-161,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,takeoff,False
20001213X25418,Accident,BFO88LA040,1988-04-07,"PINEVILLE, WV",United States,I16,WELCH,Non-Fatal,Substantial,,Cessna,340,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,imc,taxi,False
20001213X25393,Accident,ATL88LA134,1988-04-07,"FUNSTON, GA",United States,,,Non-Fatal,Substantial,,Cessna,150c,No,1.0,reciprocating,ferry,0.0,0.0,0.0,1.0,vmc,takeoff,False
20001213X25392,Accident,ATL88LA133,1988-04-07,"MACON, GA",United States,MAC,MACON-HERBERT SMART DWNTN,Non-Fatal,Substantial,,Cessna,152,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,taxi,False
20001213X25567,Accident,SEA88FA069,1988-04-08,"SODA SPRINGS, ID",United States,,,Fatal(2),Destroyed,,Aero Commander,680fl,No,2.0,reciprocating,unknown,2.0,0.0,0.0,0.0,unk,descent,True
20001213X25554,Accident,NYC88LA121,1988-04-08,"WEST SENECA, NY",United States,,,Non-Fatal,Destroyed,,Piper,pa-31-325,No,2.0,reciprocating,personal,0.0,0.0,1.0,0.0,imc,approach,True
20001213X25448,Accident,DEN88FA093,1988-04-08,"HELENA, MT",United States,HLN,HELENA REGIONAL,Fatal(2),Destroyed,,Cessna,310i,No,2.0,reciprocating,business,2.0,0.0,0.0,0.0,imc,approach,True
20001213X25428,Incident,CHI88IA096,1988-04-08,"FORT WAYNE, IN",United States,FWA,BAER FIELD,Incident,Minor,,Swearingen,sa-227ac,No,2.0,turbo prop,instructional,0.0,0.0,0.0,3.0,vmc,landing,False
20001213X25373,Accident,ATL88DMG05,1988-04-08,"BOONE, NC",United States,,,Fatal(2),Destroyed,,Bellanca,14-19-3a,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,imc,cruise,True
20001213X25558,Accident,NYC88LA125A,1988-04-09,"FAIRFIELD, PA",United States,,,Fatal(1),Destroyed,,Schleicher,asw-20,No,0.0,unknown,personal,1.0,0.0,0.0,1.0,vmc,cruise,True
20001213X25376,Accident,ATL88FA137,1988-04-09,"FAYETTEVILLE, NC",United States,FAY,GRAINESS,Fatal(2),Destroyed,,Beech,c50,No,2.0,reciprocating,personal,2.0,1.0,0.0,0.0,vmc,cruise,True
20001213X25558,Accident,NYC88LA125B,1988-04-09,"FAIRFIELD, PA",United States,,,Fatal(1),Substantial,,Schleicher,asw-20,No,0.0,unknown,personal,1.0,0.0,0.0,1.0,vmc,cruise,False
20001213X25517,Accident,MIA88LA145,1988-04-09,"LAKELAND, FL",United States,LAL,LAKELAND MUNICIPAL,Non-Fatal,Substantial,,Cessna,140a,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,False
